,Game_result,Citizen,Mafia,Don,Sheriff
6088,мафия,"['Мандаринка', 'ШМиД', 'Гость', 'Гость', 'Гость', 'Гость']","['Jane', 'Гость']",Король,г-н BRO
6089,мафия,"['г-н BRO', 'Гость', 'Qasqyr', 'Jane', 'ШМиД', 'Гость']","['Гость', 'Гость']",Гость,Король
6090,мафия,"['Шер', 'Чешир', 'Крёстный отец', 'Гость', 'Лисичка', 'SKY']","['Механизатор', 'Феликс']",Юрия,Гость
6091,город,"['Гость', 'Вертинский', 'Элис', 'Юстас', 'Почеши меня за ушком', 'Кот']","['БРОНКС', 'Мастер']",Странник,Гость
6092,город,"['Крёстный отец', 'БРОНКС', 'Гость', 'Гость', 'Юстас', 'Элис']","['Qdesnik', 'Зефирка']",Гость,Вертинский
6093,мафия,"['Оркестр', 'БРОНКС', 'BonAqua', 'Юстас', 'Nester', 'Кот']","['Юрия', 'Элис']",Почеши меня за ушком,Мастер
6094,мафия,"['Мастер', 'Гость', 'BonAqua', 'Феликс', 'Юрия', 'Почеши меня за ушком']","['Крёстный отец', 'Кот']",Гость,Зефирка
6095,город,"['Гость', 'Кот', 'Гость', 'Гость', 'Мира', 'Гость']","['Юрия', 'Гость']",Почеши меня за ушком,Мастер
6096,мафия,"['Гость', 'Гость', 'Кот', 'Гость', 'Феликс', 'Маг']","['Гость', 'Гость']",Гость,Мира
6097,город,"['Afer1st', 'Крёстный отец', 'Хранитель', 'Оркестр', 'Шер', 'Лисичка']","['Юстас', 'BonAqua']",Юрия,БРОНКС
6098,город,"['Крёстный отец', 'Хранитель', 'BonAqua', 'Юстас', 'Гость', 'БРОНКС']","['Гость', 'Юрия']",Гость,Оркестр
6099,город,"['Гость', 'BonAqua', 'Гость', 'Гость', 'Гость', 'Крёстный отец']","['Шер', 'Юрия']",Гость,Юстас
6100,мафия,"['Гость', 'Мастер', 'Правда', 'DOCtoR', 'BonAqua', 'Химик']","['Крёстный отец', 'Гость']",БРОНКС,Пантера
6101,мафия,"['БРОНКС', 'Гость', 'Гость', 'BonAqua', 'Элис', 'Гость']","['DOCtoR', 'Правда']",Химик,Пантера
6102,город,"['Гость', 'Мишка Гамми', 'Оркестр', 'Мастер', 'DOCtoR', 'Гость']","['Химик', 'Гость']",Феликс,Юстас
6103,мафия,"['Пантера', 'Химик', 'Гость', 'Гость', 'Юстас', 'Гость']","['Мастер', 'Гость']",Правда,DOCtoR
6104,мафия,"['Гость', 'Гость', 'Оркестр', 'Юстас', 'Правда', 'Мишка Гамми']","['Пантера', 'Гость']",Гость,Феликс
6105,мафия,"['Крёстный отец', 'Механизатор', 'Степашка', 'Юрия', 'BonAqua', 'Правда']","['Наполеон', 'Юстас']",Чешир,DOCtoR
6106,мафия,"['Правда', 'Степашка', 'BonAqua', 'Мориарти', 'Механизатор', 'Чешир']","['Элис', 'DOCtoR']",Юрия,Наполеон
6107,город,"['Чешир', 'Наполеон', 'Хранитель', 'DOCtoR', 'Правда', 'Мишка Гамми']","['Степашка', 'Гость']",Механизатор,Юрия
6108,город,"['Шер', 'Степашка', 'Гость', 'Гость', 'Механизатор', 'Юстас']","['Правда', 'Юрия']",Анабель,Крёстный отец
6109,мафия,"['Наполеон', 'Степашка', 'Крёстный отец', 'Стрекоза', 'Вертинский', 'Гость']","['Химик', 'Светлячок']",Инженер,Правда
6110,город,"['Химик', 'Оркестр', 'Степашка', 'Правда', 'Гость', 'Вертинский']","['Инженер', 'Чиж']",Стрекоза,Светлячок
6111,мафия,"['Гость', 'Степашка', 'Феликс', 'Химик', 'Гость', 'Инженер']","['Светлячок', 'Гость']",Гость,Стрекоза
6112,город,"['БРОНКС', 'Руфер', 'Наполеон', 'Гость', 'Юрия', 'Чешир']","['Магистр', 'Гость']",Феликс,Гость
6113,город,"['Наполеон', 'Руфер', 'Юрия', 'Гость', 'Гость', 'Пантера']","['Чешир', 'Лобода']",Гость,БРОНКС
6114,мафия,"['Пантера', 'Гость', 'Лобода', 'Оркестр', 'Гость', 'БРОНКС']","['Механизатор', 'Магистр']",Гость,Гость
6115,город,"['Магистр', 'Оркестр', 'Юрия', 'Механизатор', 'Зефирка', 'Пантера']","['Чешир', 'Гость']",Гость,Руфер
6116,мафия,"['Чешир', 'Руфер', 'Магистр', 'Феликс', 'Пантера', 'Оркестр']","['Крёстный отец', 'Гость']",Лобода,Зефирка
6117,город,"['Гость', 'Гость', 'Мишок', 'БРОНКС', 'Мастер', 'Гость']","['Кот', 'Ёж']",Гость,Вертинский
6118,город,"['Кот', 'Оркестр', 'Chashka', 'БРОНКС', 'Гость', 'Гость']","['Наполеон', 'Ёж']",Гость,Инженер
6119,город,"['Кот', 'Гость', 'Мишок', 'БРОНКС', 'Юрия', 'Инженер']","['Гость', 'Ёж']",Мастер,Гость
6120,мафия,"['БРОНКС', 'Ёж', 'Гость', 'Гость', 'BonAqua', 'Вертинский']","['Мишок', 'Агроном']",Мастер,Кот
6121,мафия,"['Инженер', 'Гость', 'Оркестр', 'Мишка Гамми', 'Гость', 'Кот']","['Юрия', 'Гость']",Гость,Вертинский
6122,город,"['Мишка Гамми', 'BonAqua', 'Крёстный отец', 'Кот', 'Гость', 'Гость']","['Ёж', 'Вертинский']",Юрия,Инженер
6123,мафия,"['Мироманка', 'BonAqua', 'Гость', 'Руфер', 'Блондинка', 'Правда']","['Maximus', 'Крёстный отец']",Мишка,Инженер
6124,город,"['Гость', 'Мишка', 'Шер', 'Блондинка', 'Инженер', 'Крёстный отец']","['Мироманка', 'BonAqua']",Руфер,Maximus
6125,мафия,"['Анабель', 'Элис', 'Инженер', 'Феликс', 'Мишка', 'Гость']","['Блондинка', 'BonAqua']",Правда,Мироманка
6126,город,"['Мироманка', 'Мишка', 'Анабель', 'Юрия', 'Блондинка', 'Мишка Гамми']","['Гость', 'Правда']",Гость,Агроном
6127,мафия,"['Мироманка', 'Змея', 'Анабель', 'Агроном', 'Феликс', 'Правда']","['Гость', 'Мишка Гамми']",Юрия,Ёж
