,Name,Bonus,Games,Wins,MVP,First_blood,Last_word_3,Last_word_2,Citizen_games,Citizen_wins,Mafia_games,Mafia_wins,Sheriff_games,Sheriff_wins,Don_games,Don_wins
1371,Risha,0.0,35.0,23.0,4.0,3.0,0.0,2.0,22.0,16.0,9.0,4.0,2.0,2.0,2.0,1.0
1372,Шама,0.0,32.0,16.0,2.0,3.0,0.0,1.0,17.0,9.0,13.0,6.0,1.0,1.0,1.0,0.0
1373,Вольф,0.0,24.0,11.0,1.0,5.0,2.0,1.0,19.0,9.0,1.0,1.0,2.0,0.0,2.0,1.0
1374,Hanna,0.0,19.0,10.0,1.0,2.0,0.0,0.0,8.0,4.0,6.0,3.0,5.0,3.0,0.0,0.0
1375,Тайм,0.0,29.0,9.0,1.0,3.0,0.0,0.0,17.0,7.0,6.0,1.0,1.0,0.0,5.0,1.0
1376,Кайт,0.0,24.0,11.0,1.0,2.0,0.0,0.0,13.0,5.0,5.0,3.0,2.0,2.0,4.0,1.0
1377,Yuki,0.0,20.0,6.0,0.0,0.0,0.0,0.0,14.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0
1378,Name,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1379,Саньо,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1380,Хамик,0.0,6.0,2.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
1381,Косарь,0.0,6.0,3.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1382,Полумуж,0.0,32.0,19.0,7.0,1.0,1.0,0.0,21.0,11.0,2.0,2.0,5.0,2.0,4.0,4.0
1383,Tato,0.0,29.0,12.0,5.0,3.0,0.0,2.0,21.0,10.0,1.0,1.0,4.0,0.0,3.0,1.0
1384,Сью,0.0,7.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1385,Морт,0.0,16.0,8.0,4.0,2.0,0.0,0.0,5.0,3.0,5.0,2.0,2.0,1.0,4.0,2.0
1386,Paradox,0.0,8.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0
1387,VOLTER,0.0,8.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
1388,Summer,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1389,Плановый Гость,0.0,12.0,7.0,0.0,4.0,0.0,0.0,9.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0
1390,Keren,1.1,11.0,5.0,0.0,1.0,0.0,0.0,9.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
1391,Miss Marple,0.05,15.0,8.0,0.0,2.0,0.0,1.0,8.0,4.0,2.0,2.0,1.0,0.0,4.0,2.0
1392,Палитра,0.9,10.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0
1393,Лисицина,0.3,14.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0
1394,Heisenberg,0.0,11.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0
1395,Тали,-0.05,17.0,7.0,0.0,2.0,0.0,1.0,8.0,2.0,4.0,4.0,3.0,1.0,2.0,0.0
1396,Megamag,0.0,12.0,5.0,0.0,1.0,0.0,0.0,6.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0
1397,Вудблок,-0.3,11.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0
1398,Harry Potter,-0.4,14.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0
1399,Электрон,-0.1,10.0,2.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0
1400,Мелькор,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1401,Mavr,0.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0
